counter,shot_type,made,attempts,percentage
1400,turnaround finger roll,20,23,0.8695652173913043
1400,hook bank,83,96,0.8645833333333334
1400,reverse dunk,214,229,0.9344978165938864
1400,3pt,11360,29638,0.38329172008907486
1400,fade away jumper,1033,1754,0.5889395667046751
1400,driving hook,140,243,0.5761316872427984
1400,finger roll,259,377,0.6870026525198939
1400,running finger roll,40,51,0.7843137254901961
1400,running finger,37,52,0.7115384615384616
1400,alley oop layup shot,187,258,0.7248062015503876
1400,running tip-in,3,3,1.0
1400,de souza jump,1,1,1.0
1400,de souza driving layup,1,1,1.0
1400,running tip,9,10,0.9
1400,running 3pt,5,5,1.0
1400,driving reverse layup,79,109,0.7247706422018348
1400,running reverse layup,12,15,0.8
1400,putback dunk,80,91,0.8791208791208791
1400,driving jump,32,43,0.7441860465116279
1400,turnaround fade away,79,138,0.572463768115942
1400,putback layup,110,126,0.873015873015873
1400,running slam dunk,13,13,1.0
1400,turnaround bank,47,52,0.9038461538461539
1400,floating jump,135,192,0.703125
1400,jump bank hook,5,6,0.8333333333333334
1400,driving bank hook,3,4,0.75
1400,step back jump,37,63,0.5873015873015873
1400,finger roll layup,105,132,0.7954545454545454
1400,driving finger roll layup,137,162,0.845679012345679
1400,driving slam dunk,48,48,1.0
1400,pullup jump,116,183,0.6338797814207651
1400,fade away bank,15,16,0.9375
1400,running bank hook,2,3,0.6666666666666666
1400,putback slam dunk,27,28,0.9642857142857143
1400,running bank,65,75,0.8666666666666667
1400,running finger roll layup,11,13,0.8461538461538461
1400,reverse slam dunk,7,8,0.875
1400,driving bank,10,13,0.7692307692307693
1400,pullup bank,9,10,0.9
1400,turnaround bank hook,2,3,0.6666666666666666
1400,putback reverse dunk,1,1,1.0
1500,hook,2167,4733,0.45784914430593704
1500,jump bank,1640,2341,0.7005553182400683
1500,jump,37159,106701,0.34825353089474326
1500,turnaround jump,2501,4622,0.5411077455646907
1500,running dunk,205,213,0.9624413145539906
1500,driving layup,9814,12995,0.7552135436706425
1500,running jump,2923,4997,0.5849509705823495
1500,follow up dunk,488,538,0.9070631970260223
1500,dunk,4287,4922,0.8709874034945144
1500,fade away,766,1226,0.6247960848287113
1500,reverse layup,2235,3280,0.6814024390243902
1500,layup,18376,39537,0.46477982649164074
1500,driving dunk,1143,1212,0.943069306930693
1500,tip,2104,4230,0.4973995271867612
1500,driving finger roll,599,785,0.7630573248407644
1500,slam dunk,2649,2700,0.9811111111111112
1500,turnaround hook,400,664,0.6024096385542169
1500,alley oop layup,295,396,0.7449494949494949
1500,running hook,385,645,0.5968992248062015
1500,alley oop dunk,1053,1158,0.9093264248704663
1500,running layup,668,1023,0.6529814271749755
1500,jump hook,1048,1691,0.6197516262566529
1500,tip-in,11,71,0.15492957746478872
1500,turnaround finger roll,20,23,0.8695652173913043
1500,hook bank,89,103,0.8640776699029126
1500,reverse dunk,227,242,0.9380165289256198
1500,3pt,12571,33106,0.37971968827402885
1500,fade away jumper,1146,1954,0.586489252814739
1500,driving hook,152,261,0.5823754789272031
1500,finger roll,259,377,0.6870026525198939
1500,running finger roll,40,51,0.7843137254901961
1500,running finger,37,52,0.7115384615384616
1500,alley oop layup shot,187,258,0.7248062015503876
1500,running tip-in,3,3,1.0
1500,de souza jump,1,1,1.0
1500,de souza driving layup,1,1,1.0
1500,running tip,11,12,0.9166666666666666
1500,running 3pt,5,5,1.0
1500,driving reverse layup,116,160,0.725
1500,running reverse layup,16,21,0.7619047619047619
1500,putback dunk,118,130,0.9076923076923077
1500,driving jump,36,56,0.6428571428571429
1500,turnaround fade away,112,207,0.5410628019323671
1500,putback layup,171,193,0.8860103626943006
1500,running slam dunk,17,17,1.0
1500,turnaround bank,69,75,0.92
1500,floating jump,184,271,0.6789667896678967
1500,jump bank hook,10,11,0.9090909090909091
1500,driving bank hook,3,4,0.75
1500,step back jump,67,107,0.6261682242990654
1500,finger roll layup,147,185,0.7945945945945946
1500,driving finger roll layup,219,264,0.8295454545454546
1500,driving slam dunk,65,65,1.0
1500,pullup jump,190,304,0.625
1500,fade away bank,18,21,0.8571428571428571
1500,running bank hook,2,3,0.6666666666666666
1500,putback slam dunk,37,39,0.9487179487179487
1500,running bank,96,115,0.8347826086956521
1500,running finger roll layup,15,19,0.7894736842105263
1500,reverse slam dunk,10,11,0.9090909090909091
1500,driving bank,13,17,0.7647058823529411
1500,pullup bank,12,15,0.8
1500,turnaround bank hook,4,5,0.8
1500,putback reverse dunk,1,2,0.5
1600,hook,2259,4964,0.45507655116841256
1600,jump bank,1716,2457,0.6984126984126984
1600,jump,39234,112631,0.34834104287451945
1600,turnaround jump,2677,4968,0.5388486312399355
1600,running dunk,226,234,0.9658119658119658
1600,driving layup,10412,13792,0.7549303944315545
1600,running jump,3081,5292,0.5821995464852607
1600,follow up dunk,488,538,0.9070631970260223
1600,dunk,4592,5283,0.869203104296801
1600,fade away,766,1226,0.6247960848287113
